KEY,zh-CN
polarbiome,极地生物群系
polarbiomesincreaseaunitsheat-sinkingabilityby20%*,极地生物群系能使一个单位的散热能力增加20%.
powerinterlock,电力联锁装置
powerspike,电涌
powersurgeinthemechbay,机甲库的电涌
preppingforcombat,正在进行作战准备
previouslyundercapellancontrol^in3005thisinhospitablejungleworldwasconqueredbythefederatedsuns*aresistancemovementkepttheworldawarzoneformanyyears*inthe3020s^houseliaoreturnedandwagedwarforamorepermanentliberation*sofarithassucceededonlyincreatinglastingenmitybetweenthedefending1stkitteryborderersandtheinvadingforcesofthest*ivesarmoredcavalry*,这颗不宜居的丛林星球之前处于御夫星人的控制下 3005年它被恒星联邦征服. 抵抗运动让这颗星球多年以来一直是个战区. 在31世纪20年代 廖氏家族回归 发动了一场更加持久的解放战争. 迄今为止这场战争仅仅成功地造就了防守方第1基特里边防团和入侵方圣艾夫斯装甲骑兵军之间持久的敌意.
prideandvanity,骄傲和虚荣
principalityofrasalhague,蛇夫星公国
prioritymission,首要任务
proceed,继续
pullinglinchpins,拉动关键
pullingoutallthestops,全力以赴
qalziisarelativelyrecentadditiontoauriganholdings*thecoldandrockyterranworldisinalegallimbo^withthetaurianconcordatmaintainingthattheiroriginalcolony^sinceabandoned^givesthemapriorclaimonthesystem*,喀奥齐是最近加入奥里根领地的. 这颗冰冷的岩质类地星球处于法律未定状态 金牛协约国坚持他们废弃了的最初殖民地 给了他们对此星系的优先主张权.
quarantine,隔离
quickdraw4gsareamongthefastestandmostmaneuverableofheavymechs^withdecentweaponry*theysufferfromproblematicheatbuildupwhenusingalltheirfeaturesatonce^sosomecautionisneeded*,"快枪4G"在重型机甲中属于最快 机动性最好的一种 武器装备也不错. 同时发挥"快枪"的所有特性时 它们会受制于热量积累 所以要小心些.
quillarfizzisasparklingbeveragemadefromtheinnerspheresmostpopularbioengineeredcrop*itcomesineveryfruitflavoryoucanimagineandsomeyoudrathernot*thiscanischerry-pomegranate^andtheslogansays^snappyandrefreshingwithoutslowingyoudown!,奎拉气泡水是一种气泡饮料 用内天体最为普遍的生物工程作物制成. 每一种你能想象的——还有你想象不到的水果口味它都有. 这一罐是樱桃石榴 上面的标语写着 "清新爽口决不拖慢你!"
radiationfield,辐射场
raidingparty,盗匪党
raisingthedead,唤醒亡者
random,随机
readinginthecorridor,在走廊读书
recentlyliberatedfrommercenariesandreligiousfanatics^lightly-inhabitedbellerophonisaridandinhospitable^andconflictsoverlimitedagriculturalresourcesarecommon*,最近才从佣兵和极端宗教分子手里解放的 少人定居的柏勒洛丰是片干旱的不毛之地 经常发生争夺有限农业资源的冲突.
recon,侦察
reconquest,收复
recruit,新兵
recruitmentdrive,招兵买马
recruitsarefreshmechwarriorswhoarerelativelyunskilled^withnoabilitiesavailabletothemyet*,新兵是相对不熟练的新人机甲战士 他们还没有技能.
redirection,重新定向
reducedmin*range,降低最小射程
reducedrecoil,降低后坐
regisroostisfilledwithfungallife^inadizzyingarrayofforms;fungalplants^fishandevenanimalscomprisethecomplexbiosphereoftheworld*consequently^theairisthickwithspores*visitorsarepronetoanunpleasantillnessknownasspore-lung*,里吉斯鲁斯特充满了真菌生物 以各种令人眼花缭乱的形式出现; 真菌"植物" "鱼"甚至"动物"组成了星球复杂的生物圈. 因此 空气中充满了孢子. 游客很容易患上一种令人不适的疾病 叫做"孢子肺".
regularmechwarriorsshowsomecompetencyinacombatabilityandhavebeguntodemonstrategreatercapabilityinoneormoreskillareas*,正式的机甲战士在作战技能方面表现出一定的能力 并开始在一个或多个技能领域显示出更强的能力.
renownisaterranparadisewhentheskiesareclear^whichunfortunatelydoesnthappenveryoften*theplanetissubjecttovasttornadoesandmeteorologistisanessentialpositioninrenownsmostly-automatedfactoriesandfarms*,天空明净的时候 瑞诺恩是地球式的天堂 不幸的是 这并不经常发生. 这颗行星受制于巨型龙卷风 而"气象学家"在瑞诺恩几乎完全自动化的工厂和农场中是个必不可少的职位.
repairstothemechbayhaveunearthedamuchmoreextensivesystemofmechmaintenanceautomationthanyangpreviouslysuspected*onceitsbackonline^manycommontaskswillbecometrivial*,对机甲库的修理工作使一套比杨先前所怀疑的要更加庞大的自动化机甲维护系统被发掘了出来. 一旦它重新上线 许多常规工作都会变得微不足道.
repossession,收回
repulseisalushagriculturalworldwithvaluableminingdepositsaccessedthroughvastgashesattherockypoles*despitetheplanetaryresources^thepopulationremainslowduetoanundesirableandmercurialclimate*,里帕尔斯是一颗富饶的农业星球 通过这颗岩质星球两极的巨大裂缝 可以开采宝贵的矿藏. 尽管行星富有资源 但由于讨厌而多变的气候 人口仍然很少.
reputation:disliked,声望: 不受喜欢
reputation:friendly,声望: 友好
reputation:hated,声望: 厌恶
reputation:indifferent,声望: 一般
reputation:liked,声望: 受喜欢
reputation:loathed,声望: 憎恨
resignation,辞职
restart,重新开始
restockingthekitchen,补充厨房物资
restoration,光复运动
restoresconsciousnesstoallpilots^placesanydownedmechsupright^and(todo)removesanydemoralizationeffects*,恢复所有驾驶员的意识 将任何倒下的机甲竖立起来 并且(待办)移除所有士气低落效果.
retribution,惩戒
revertandconfirm,还原并确认
road,道路
robbery,抢掠
roughterrain,崎岖地形
roughterrainreducesmovementspeedandcausesunitstotake150%stabilitydamagefromallattacks*+4difficultytohitunitswithinroughterrainwithmeleeattacks*,崎岖地形会降低移动速度 使单位在所有攻击下蒙受150%的失衡伤害. 使用肉搏攻击崎岖地形中的单位命中难度+4.
rumorhasitthatthe{team_emp*factiondef*name}havebeensmugglingrestrictedmunitionsinamongtheirmedicalsupplies*onthesurface^atleast^werebeingtaskedwithahumanitarianescortmission*,有传言说{TEAM_EMP.FactionDef.Name}在他们的医疗物资中夹带走私受管控的军火. 至少从表面上看 我们的任务是人道主义的护送任务.
runningpowerthroughpatched-togetherconduitsisntreliableorsafe*upgradingalltheconduitsthroughouttheargoisamonumentaltask^butnecessaryforanythingthatplacesasignificantloadonthesystem*,使用修补过的导管传输电力既不可靠也不安全. 升级<i>阿尔戈号</i>的全部导管是一项庞大的任务 但对任何对系统造成大量负载的东西都很重要.
saferdfa,更安全的死神天降
salary,薪水
satellitesurveillancepicturesshowthataheavylancewasinsertedontotheplanetssurfacebya{team_tar*factiondef*demonym}dropship*currentlywebelievetheyresecuringtheirlz^preparingforwhateveroperationtheyhaveplanned*beforetheyfinishsecuringthearea^wedlikeyoutointerruptthem*theyreheavilyarmedsoexpectstrongresistance*,卫星监视照片显示有一支重型小队通过一艘{TEAM_TAR.FactionDef.Demonym}空投艇来到了星球表面. 我们相信他们目前正在清理着陆区 为计划好的行动做准备. 在他们清理完该区域之前 我们希望你阻止他们. 他们全副武装 所以预计会有强烈抵抗.
savetheprototype,挽救原型机
scientificemergency,科学突发事件
scout,尖兵
scout&disabler,尖兵&致残者
scout&harasser,尖兵&骚扰手
scout&sniper,尖兵&狙击手
searchdenial,拒绝搜索
seekanddestroy,搜索与消灭
seethereputationstandingofyourmercenarycompanywiththevariousmajorfactionsoftheauriganreachandthebenefitsorpenaltiesassociatedwiththem*,看看你的雇佣军公司在奥里根远邦各大派系中的声望——以及与之相关的收益或惩罚.
segericawasacapellanindustrialworld^withextensivemanufacturingfacilitiestuckedintoitsplanet-widecanyonsystems*thesefacilitieswerethetargetoforbitalnuclearstrikesfromthefreeworldsleague^andtheplanethasbeenanemptywastelandsince*,塞格利卡曾经是御夫星人的工业星球 遍布全球的峡谷中藏着大量的制造设施. 这些设施成了自由世界联盟轨道核打击的目标 自那以后整颗星球就变成了一片荒芜的废土.
seismicdisturbancespickedupbyoneofourreconunitson{tgt_system*name}suggestthatsomeoneisconductingundergroundnucleartestsonthissupposedlyabandonedworld*webelievetheculpritsareoperatingoutofasecret{team_tar*factiondef*demonym}manufacturingfacility^andwevepickeduptransmissionsindicatingtheyintendtomovetheirnewlydevelopedweaponstoahiddenspaceportandthentransportthemoff-world*needlesstosay^thisisntanacceptableoutcomefor{team_emp*factiondef*shortname}*,我们的一支侦察单位在{TGT_SYSTEM.name}收到的地震扰动显示 有人在这颗本应荒凉的星球进行地下核试验. 我们相信元凶正在一处秘密{TEAM_TAR.FactionDef.Demonym}制造设施中行动 而我们收到的讯息显示他们要将新研发的武器送往一座秘密太空港 运出这颗星球. 不必说 这不是{TEAM_EMP.FactionDef.ShortName}所能接受的结果.
selectaunit^orbraceallremainingmechs*,选择一个单位 或让所有剩下的机甲抵御冲击.
selectaunit^orreserveyourunitstothenextphase*,选择一个单位 或将你的单位"后备"至下一阶段.
sendingamessage,发送一条消息
sensorlock,感应器锁定
sentinel,哨兵
servedcold,犹未为晚
settingasidetherumorsoflostech^thiscontractisanexcellentopportunitytotakepaymentinmechpartsandsalvagerights^as{team_emp*factiondef*demonym}mechtechsareon-siteforrecovery*,撇开关于失落技术的谣言 这份合约是一个很好的机会 来以机甲部件和回收权的形式支付款项 因为{TEAM_EMP.FactionDef.Demonym}机甲技师就在现场进行回收.
settlingagrudge,握手言和
sharpshooter,神射手
shortdesplaceholder,ShortDescPlaceholder
shortrangemissiles^capableofdealingheavydamageatcloserangeviashapedchargewarheads*,短程导弹 能在近距离通过聚能装药战斗部造成严重破坏.
showofforce,炫耀武力
sightseeingopportunity,观光机会
skirmisher,伏击手
skirmisher&brawler,伏击手&缠斗者
skirmisher&cavalry,伏击手&装甲兵
smalllasersdealsuperbdamagefortheirweightandheatgenerationbuthaveextremelylimitedrange*likealllasers^smalllasersenjoyabaselineaccuracybonusoverotherweapons*,在这个重量级上 小型激光造成的伤害和发热很惊人 但射程非常有限. 和所有激光一样 小型激光相较于其它武器 在基准精度上有所加成.
smashandgrab,强夺行动
smugglers,走私者
smugglersfundedby{team_tar*factiondef*shortname}havesetupjustoutsideourborders^causinganongoingproblemfor{team_emp*factiondef*demonym}operations*wedliketocuttheheadoffthisparticularsnakewithatargeted^limited^anddeniablestrikeontheirleader*ideally^thiswillshutthemdownpermanently*,由{TEAM_TAR.FactionDef.ShortName}资助的走私者就安置在我们的边界外 为{TEAM_EMP.FactionDef.Demonym}的行动带来了持续的问题. 我们希望对他们的首领来一次针对性的 有限的 可以撇清关系的打击 来斩断这条蛇的头. 理想的情况下 这能永远让他们停止活动.
sniper&direct-firesupport,狙击手&直接火力支援
sniper&firesupport,狙击手&火力支援
sniper&lightbrawler,狙击手&轻型缠斗者
solarischampionship,索拉里斯锦标赛
solarisgladiator,索拉里斯角斗士
solarisviiisfamousforitsbattlemechgladiatorialfights*knownasthesolarisgames^thesefightsarebroadcastthroughouttheinnersphereandtheperiphery^wherefanseagerlyfollowthecareersoftheirfavoritemechwarriors*,索拉里斯7号以它的机甲角斗战闻名. 这些战斗被称为索拉里斯竞技 被广播到内天体和外围各地 那里的粉丝热切关注着他们最喜欢的机甲战士的职业生涯.
somehowidoubttheresalostmechfactoryonthisbackwaterworld*itprobablymanufactureslow-gbicyclesorsomethingelseuseless*,不知怎的 我怀疑在这颗闭塞的星球上有一座失落的机甲工厂. 也许它生产低重力自行车或其它什么无用的东西.
someonewhopilotsabattlemechiscalledamechwarrior*theytypicallyserveinthearmiesofthesuccessorstatesorinmercenaryunits*duringthesuccessionwars^manymechwarriorsownedtheirownmechsandpassedthemdownthroughthegenerationsasfamilyheirlooms*,驾驶战斗机甲的人被称为机甲战士. 他们通常效命于继承国家军队或者佣兵部队. 在继承战争期间 许多机甲战士都拥有自己的机甲 并且将其作为传家宝代代相传.
soundslikewellbehittingamiddlemanager*notmuchglory^butitpays*thetargetwontbealone^commander^andtheresabonusifwecleanuptheescortingunits*still^ifthingsgettoohot^wecanalwayshitandrun*,听起来我们要袭击一个中层管理. 这不怎么光荣 可有钱拿. 目标不会孤身一人 指挥官 如果我们清除了护卫单位 就会有奖金. 不过 要是事态过分危险的话 我们总可以打了就跑.
soundslikewellbehittingamiddlemanager*thetargetwontbealone^commander^andtheresabonusifwecleanuptheescortingunitsaswell*still^ifthingsgettoohot^wecanalwayshitandrun*,听起来我们要袭击一个中层管理. 目标不会孤身一人 指挥官 如果我们清除了护卫单位 就会有奖金. 不过 要是事态过分危险的话 我们总可以打了就跑.
srm6sarethelargestavailablerackofshort-rangemissilesandpackconsiderablepunchwhilealsobeinglightweight*asforallsrms^srm6shotsdealabove-averagestabilityimpactperhitcomparedtootherweapons*,SRM-6是短程导弹中最大的一种 轻便之余还具备可观的攻击力. 对于所有的短程导弹 SRM-6每一击都可以造成超出其它武器平均水准的稳定性伤害.
srmammo,短程导弹弹药
st*lorisisanimportantagriculturalcenterinthecapellanconfederation*in3010^anotablebattletookplacebetweenthe2ndst*iveslancersandtworegimentsfromtheelitecetihussarsofthefederatedsuns*muchoftheplanetsvitalwheatcropwasdestroyed*,圣洛里斯是御夫星邦联的一个重要农业中心. 3010年 第2圣艾夫斯枪骑兵团与恒星联邦精锐的鲸鱼座骠骑兵旅的两个团之间发生了一场重要的战斗. 行星上许多重要的小麦作物都被摧毁了.
stabilitydamageistheamountofforceaweaponimpactsitstargetwith*dependingonthetotalamountofstabilitydamagedealtbyanattack^thetargetmaybecomeunsteadyorevensufferaknockdown*,失衡伤害是一件武器对目标所造成冲击力的量. 根据一次攻击造成的失衡伤害总量 目标可能会变为"失衡"甚至会被"击倒".
stabilitydefenseprovidesaglobaldecreasetotheamountofstabilitydamagetakenfromallincomingattacks^furtherimpactedbyenvironmentalfactors*,稳定性防御会对所有来袭攻击带来的稳定性伤害施以全局性的减少 此外还受环境因素影响.
standardlrmturret,标准长程导弹炮台
standardshredderturret,标准粉碎者炮台
standardsniperturret,标准狙击炮台
standardturretchassis,标准炮台底座
standup,起立
stealingisaformofflattery,偷窃是种恭维
stealtheprototype,窃取原型
steiner,施泰纳
stolengoods,赃物
stolenmech,被偷的机甲
stopthesignal,停止信号
store,仓库
stormsandbefouledairmakecarmichaelamiserableplace*thetaurianinhabitantsfoughtalong^brutalguerillawaragainstthesldfduringthereunificationwar^butultimatelylost;sincethen^theworldhasbeenadavionholding*,风暴和污浊的空气使得卡迈克尔成了一个悲惨的地方. 在统一战争期间 金牛住民与星际联盟防卫军进行了一场漫长而残酷的游击战争 但最终失败了; 从那时起 该星球就一直是达维恩的土地.
storymission,剧情任务
striker,攻击手
striker&skirmisher,攻击手&散兵
strikercavalry,攻击骑兵
stubbornsurrender,难处理的投降者
successfullycompletingtheprimaryobjectivesofamissionyieldstheagreed-uponpaymentandsalvage^plusanybonusesfromsecondaryobjectives^aswellasanimprovedratingscorewiththemercenaryreviewboard*,成功完成任务的首要目标会让你得到约定的报酬以及战利品 以及次要目标的奖金 在雇佣军评审委员会里的评级分数也会提高.
sumiremeyer,纯丽·梅耶尔
sunnywoodisadisingenuously-namedbarrenrockworldwhereanambitiouscolonyspentcenturiesdying*manyruinsdottheworldasatestamenttohumanitysoptimism*,森尼伍德是一颗臭名昭著的荒凉岩质星球 此地有个雄心勃勃的殖民地在数个世纪里消亡殆尽. 星球上不乏各类遗迹 昭示着人类的乐观主义.
supplybase,补给基地
supplyconvoy,补给车队
supplyinterdiction,封锁补给
supplylines,补给线
surveillanceoutpost,监视哨所
swiftreclamation,火速回收
syntheticplague,人造瘟疫
tactician,战术家
tactician(expert),战术家(专家)
tactics,战术
tacticsincreasestheeffectivenessofcalledshotopportunities*italsoreducesthepenaltyforindirectfireandimprovestheminimumrangeofweaponry*,"战术"能提高精准射击机会的效率. 它还减少了间瞄射击的惩罚 改善了武器的最小射程.
takethebait,愿者上钩
talktoyang,和杨谈谈
tamper-proof,不可损坏
target,目标
targetpractice,射击练习
techpointsaregeneratedeachdayandspenttorepairorcustomizebattlemechs*techpointsonlyapplytoonemechtaskatatime^soadditionaltasksarequeuedtobeworkedonnext*,技师点数每天都会生成 用于修复或改造战斗机甲. 技师点数一次只作用于一台机甲的作业 所以其它作业需要排到下一个处理.
temperaterollisisthesourceofarareandhighlyvaluedvarietyofwood^and^consequentially^abusyblackmarket*italsoservesasajumping-offpointforthoseplanninganadventurousjourneyintotheperiphery*,温暖的罗利斯是一种稀有且非常珍贵的树种来源地 因此 这里是个繁忙的黑市. 对于那些计划冒险进入外围的人来说 这里也是一个起点.
temporaryimprovements,临时性改善
terroriststrikesagainstourfacilitieshaveincreased^andourintelsays{team_tar*factiondef*name}isbankrollingtheterroristsandprovidinglogisticalsupportintheformofsmallarms^explosives^andmedicalsupplies*weneedyoutointerceptthe{team_tar*factiondef*demonym}supplyconvoyanddestroyitbeforeitreachestheterrorists*,恐怖分子针对我们设施的袭击越来越多了 根据我们的情报来看 {TEAM_TAR.FactionDef.Name}人正在资助游击队 以轻武器 炸药和医疗用品的形式提供后勤支援. 我们需要你拦截{TEAM_TAR.FactionDef.Demonym}的补给车队 并且在它抵达恐怖分子之前就消灭它.
testprogram,测试程序
thatemptystoragespaceingammapod^withsomeadditionalpowerconduits^couldeasilysupportahandfulof2-dand3-dgamesystems*itsnoreplacementforthetrainingunits^butitsmorefun*,那间伽玛舱的空储藏室 装一些额外的电力导管的话 就能轻易地支持几部2D和3D游戏系统. 它代替不了训练单元 可更有趣.
the^uh^theengineerswerewonderingiftheycouldschedulearegulartri-videvent*theresthisshow^aboutmercenariesduringthecivilwar^andtheirmechsaresupposedtobehistoricallyaccurate*iduh^theydlikeaspacetowatchstufflikethat*,这个 呃 工程师们想知道他们能否安排定期的3D视频. 就是这档节目 关于内战时期的佣兵 他们的机甲估计忠于历史. 我想—呃 他们想要一个空间来观看这类东西.
the{team_emp*factiondef*demonym}citizensherehavebeensufferingatthehandsofalocalbandofbrigands-remnantsfroma{team_tar*factiondef*demonym}battalionthatsawactioninthethirdsuccessionwar*withnoprospectsorfunds^theyvebecomecommoncriminals*youaretoeliminatethem^downtothelastmechandvehicle*,{TEAM_EMP.FactionDef.Demonym}的平民正受到当地一群盗匪的折磨--这是一个{TEAM_TAR.FactionDef.Demonym}营残部 这个营参加过第三次继承战争. 因为既没有前途也没有钱 他们变成了普通的罪犯. 你要消灭他们 直到最后一部机甲 最后一辆车.
the{team_tar*factiondef*demonym}manufacturingfacilityon{tgt_system*name}isanillegalintrusionintoourterritory^andacoverformilitarypersonnelandunits*oureffortstoresolvethisthroughdiplomaticchannelshavebeenrebuffed^sowearenowturningtoamilitarysolution*thefacilitymustbedestroyed*,{TGT_SYSTEM.name}上的{TEAM_TAR.FactionDef.Demonym}制造设施是对我们领土的一次非法侵入 也是对军事人员和军事单位的掩护. 我们通过外交渠道解决这一问题的努力已遭拒绝 所以现在我们转向军事解决. 这处设施必须被摧毁.
the{team_tar*factiondef*demonym}mechwarriorisheadedtoamajormilitarycompoundon{tgt_system*name}^wheretheylltakecommandofacompany-sizedmechforce^andbecomeuntouchable*theyreenroutetotheencampment^butuntiltheyarrive^theyrevulnerable*,{TEAM_TAR.FactionDef.Demonym}机甲战士正前往{TGT_SYSTEM.Name}的一处大型军营 他们会在那儿指挥一支连级机甲部队 并变得所向无敌. 他们正在前往营地的路上 但在他们在到达之前自身很脆弱.
the2dshadowhawkisaninterestingmodel*itsdefaultpayloadsacrifcesalotofarmortomountabitmorefirepower^thoughsomearguethetradeoffisntworthit*itsalphastrikes*are*betterthoughso***iguessyoucanbethejudge*,2D型的"影鹰"是种有趣的型号. 它的默认装载牺牲了许多装甲来安装多一点的火力 不过有人论证这样的取舍是不值得的. 不过它的全弹攻击"更"好所以...我猜你自己能判断.
the4pversionofthehunchbacktradesthesingularimpactofamassiveautocannonforafrighteningarrayoflighterenergyweaponrythatisactuallycapableofdealingmoredamageoverall*thisallcomesatthecostofgreatlyincreasedheatbuildup^ofcourse*,"驼背"的4P型用重型自动炮的单次攻击力换来了可怕 轻便的能量武器组 综合来说它们能够造成更多的实际伤害. 当然了 这一切也付出了热量积累大幅增加的代价.
theadministrativecapitalofitscapellanconfederationcommonality^victoriaisfamousforitsviolentlybadweather^undergroundcities^andbeautifuldomedparks*manyindustriestakeadvantageofthelocalnaturalresources*,维多利亚是其所在御夫星邦联共同区的行政首府 因其极度恶劣的天气 地下城市 以及美丽的穹顶公园而盛名在外. 许多产业都充分利用了当地的自然资源.
theairlessworldofviribiumwasacriticalmilitarybase^defendingliaosborderfromthefreeworldsleague*theleagueseizedthebaseinthesecondsuccessionwar^andthenabandonedit^detonatingnucleardevicesinsidethefacilitiesbeforeleaving*,空气沉闷的维里比姆曾经是一处重要的军事基地 守护廖氏边境不受自由世界联盟侵犯. 自由世界联盟在第二次继承战争中夺取了这座军事基地 但随后遗弃了它 离开前在设施内引爆了核装置.
thealvariantofthecenturiontendstotradethelargerburstdamageofanautocannonformoreenergyweaponryandheavierarmor*alscantakeanincredibleamountofdamagefortheirsizebutstillpackagoodpunch*,"百夫长"的AL型用自动炮强大的爆发伤害换来了更多能量武器和更重的装甲. AL型可以承受对它们这个尺度而言非常多的伤害之后 还依然能重拳出击.
theancestralhomeofhousemadeira^guldraisthemostearth-likeplanetintheentireauriganregion^andisamajorbreadbasketforthearea*massivecitieshouseatotalpopulationjustoverabillion^andexportingfoodhasmadeguldraanextremelywealthy^diverse^sophisticatedworld*,古尔德拉是马德拉家族的母星 是整个奥里根地区最像地球的行星 也是该地区的一大面包篮子. 大城市安置了超过10亿的人口 而食品出口则让古尔德拉成为一颗极为富裕 多样化 发达的星球.
thearanorestorationistheremnantoftheformeraurigancoalition^drivenfrompowerbythetreacheryofsantiagoespinosa*thosestillloyaltothearanofamilyfledintotherimwardfrontier^theexpanseofunsettledsystemsadjoiningthemagistracyofcanopus*manynoblehousesoftheaurigandirectorateharborsympathiesfortherestorationanditscause:returningthearanomonarchytopower*,阿拉诺光复运动是前奥里根同盟 因圣地亚哥·埃斯皮诺萨的背叛而被赶下台后的残部. 那些依旧忠于阿拉诺家族的人逃往缘向边地 一处紧贴在船底自治区 广袤而动荡的星系. 许多奥里根理事会的贵族都对光复运动及其事业: 让阿拉诺家族成员重掌权力报以同情.
theareaofspacejustoutsidetheinnersphereandtheperipheryisknownasthedeepperiphery*theexactbordersofthisregionarevaguelydefined*thoughnotasthoroughlycolonizedastheperiphery^thedeepperipheryishometoanumberofinterstellarstatessuchasthehanseaticleagueandthechainelaneisles*,内天体和外围之外的太空区域叫做深空外围. 这片地区准确的边界十分模糊. 尽管深空外围并没有像外围那样被完全殖民 但它也是诸如汉萨同盟以及链道群岛等几个跨星际国家的家园.
theargocan^inapinch^generatequiteabitmorethrustthanitfirstseemed*byrepairinganumberofdrivesubsystemsmeanttoincreasethrustefficiency^itspossibletogettheargouptoanuncomfortable2gofsustainedthrust*,<i>阿尔戈号</i>可以 在必要时 产生比它最初那样子多许多的推力. 修复一大堆驱动器子系统意味着增加推进效率 让<i>阿尔戈号</i>有可能增加到令人不舒适的2个g的持续推力.
theargohasspaceforthreemechbays^allowing18totalmechstobekeptinabattle-readystate*however^significantrepairsandupgrades^availableinengineering^arerequiredbeforeallthreebayscanberestoredtofunctionality*,<i>阿尔戈号</i>的空间可以容下三个机甲库 让总共18台机甲保持战备状态. 但是 把所有三个机甲库都恢复至可用状态之前 需要进行重大修复和升级 这些升级可以在工程区获得.
theargoscurrentbudgetincludesalineitemforcrewentertainment^soafterpollingthemorningbriefingforpreferences^dariusplacesanorder*soonashipmentofpopularnewholovidchipsfrom{tgt_system*name}arrives^amixofaction^historicaldrama^horror^screwballcomedies^andanimatedfeatures*,<i>阿尔戈号</i>目前的预算包含了一项船员娱乐项目的内容 所以在晨会就偏好之物进行了投票后 达吕斯发布了一道命令. 很快就从{TGT_SYSTEM.Name}运来了流行的新版全息影视芯片 混杂了动作片 历史剧 恐怖片 神经喜剧还有动画片.
theargosdriveisbarelyfunctional^withjustenoughpowertomaintain1gofthrustandkeepthelightson(mostly)*frankly^itsaminormiraclethatdr*muradwasabletogetitworkingatall*,<i>阿尔戈号</i>的驱动器勉强能用 动力刚好够维持1个g的推力和照明(大部分情况下). 坦率地说 穆拉德博士能让它运转起来已是一项小小的奇迹了.
theargosdriveisfarmorepowerfulthanisuspected*wemaynoteverbringitcompletelybackonline^butfornowicanincreaseourthrust*while2gisnotcomfortableandthecrewwillcomplain^wellcutourtraveltimessignificantly*,<i>阿尔戈号</i>的驱动器<i>远</i>比我猜想的要强大. 也许我们永远无法让它完全上线 可目前我能增加我们的推力. 虽然2g并不舒服 船员们会抱怨 可我们能大大缩短航行时间.
theargosdriveisonlyoperatingatafractionofitspotential^commander*withsometimeandmaterials^ibelieveicanboosttheoutputofthesecondaryfusionreactors-toputitsimply^illmaketheargogofaster*,阿尔戈号的驱动器只发挥了一小部分潜力 指挥官. 花些时间和材料的话 我相信我能提高次要聚变堆的输出\u2014简单地说 我会让阿尔戈号跑得更快.
theargosdrivewasenoughtogetitoffthesurfaceofalow-gravitymoon^butmuchofthesupportinginfrastructurewasdamagedintheescape^andrunningthedriveatfullpowerrequiresextensiverepairs*oncetherepairsarecomplete^thedrivecangenerate1*5gofthrust*,<i>阿尔戈号</i>的驱动器足够它摆脱低重力的月面 但逃逸过程中许多支撑架构受到了损伤 全功率运行驱动器需要大量的修复工作. 一旦完成了修复 驱动器就能产生1.5个g的推力.
theargosmechbayisvast^spacious^andmeanttobeentirelymanagedbycomplexautomation*currently^sixofthe18totalmechcubiclesarepoweredandinworkingorder^andalmostnoneoftheautomation*,<i>阿尔戈号</i>的机甲库又大又宽敞 意味着完全要由复杂的自动化设备管理. 目前 总共18个机甲隔舱中的6个已经通电 处于工作状态 而且几乎没有自动化设备.
theargosmechcubiclesusedtohaveacomplexsystemofmovablewalkwaysandscaffoldsforaccessinganypartofadamagedmech*thosewalkways^oncebroughtonline^makethejobofrepairingmechsmuchsimpler*,<i>阿尔戈号</i>的机甲隔舱曾有一套由可移动步道和脚手架构成的复杂系统 可以到达受损机甲的任何部位. 那些步道一旦上线 就能让机甲的修复工作简单许多.
theargospowersystemisawreck^andgettingaminimallevelofpowertotheshipssystemswithoutconstanttrippedbreakersandbrownoutsisaminormiracle*,<i>阿尔戈号</i>的电力系统受到严重损毁 能够供应船上诸系统以最低水平的电力而不发生经常性的跳闸和低电压 已是一项小小的奇迹了.
thearidworldofbromheadwassettledinthefirstwaveofcolonization^andwasataurianholdinguntilthereunificationwar*itisnowadavionpossession^withalargepopulationinsprawlingriver-bankcitiesthatnestleinthevastdeserts*,在第一波殖民浪潮中 就有人定居在了布罗姆黑德这个干旱的星球 在统一战争之前它都是金牛领土. 现在它是达维恩的属地 大量人口都在位于大沙漠 而且连绵不绝的河岸城市里.
theatlasdisthekingofthebattlefield^capableofbringingadizzyingarrayofweaponstobearontargetsatanyrange*itisalsonoteworthyfornormallymountingthemaximumamountofarmorpossible*fewopponentscansurviveevenbriefcontactwiththismonster*,"大力神D"是战场之王 能以其令人头晕的武器组压迫任意距离的目标. 值得注意的是 通常情况下它都装备着最大限度的装甲. 几乎没有对手能在和这个怪物的接触中幸存下来 哪怕只是短暂的一刻.
theaurigandirectoratereplacedtheaurigancoalitionwhensantiagoespinosa^advisertothehighladykameaarano^betrayedherandledacoupagainsthergovernment*intheyearssincethatcoup^directorespinosahassolidifiedhisholdonthesystemsofthedirectorate^bindingthefoundingfamiliestohiscausewithamixtureofpromisesandthreats*hisruleisoppressiveandmilitaristic^withindividuallibertiessacrificedtothecauseofsecurityandstability*,圣地亚哥·埃斯皮诺萨 最高领主卡梅娅·阿拉诺的顾问 背叛了她 发动政变推翻了她的政府. 于是 奥里根理事会取代了奥里根同盟. 政变后的这些年里 督政官埃斯皮诺萨巩固了他在理事会星系的权力 恩威并施地将创始家族绑上了自己的战车. 他的统治是高压的军国主义统治 个人自由为安全与稳定而牺牲.
